日期,开始时间,结束时间,出发线路,终到线路,起始站,终到站,客流量
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,昌平线,15号线,学知园,清华东路西口,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,昌平线,8号线,学知园,王府井,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,昌平线,昌平线,昌平西山口,六道口,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,昌平线,昌平线,昌平西山口,学知园,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,昌平线,昌平线,昌平西山口,昌平西山口,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,昌平线,昌平线,昌平西山口,西二旗,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,昌平线,10号线,昌平西山口,团结湖,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,昌平线,10号线,昌平西山口,海淀黄庄,
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,昌平线,15号线,昌平西山口,清华东路西口,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,昌平线,8号线,昌平西山口,奥林匹克公园,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,昌平线,8号线,昌平西山口,王府井,7.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,昌平线,昌平线,西二旗,六道口,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,昌平线,昌平线,西二旗,学院桥,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,昌平线,昌平线,西二旗,昌平西山口,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,昌平线,昌平线,西二旗,沙河,11.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,昌平线,昌平线,西二旗,西二旗,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,昌平线,10号线,西二旗,海淀黄庄,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,昌平线,15号线,西二旗,望京,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,昌平线,8号线,西二旗,回龙观东大街,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,1-八通线,1-八通线,东单,王府井,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,1-八通线,10号线,东单,十里河,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,1-八通线,4-大兴线,东单,海淀黄庄,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,1-八通线,1-八通线,国贸,东单,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,1-八通线,1-八通线,国贸,王府井,11.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,1-八通线,1-八通线,国贸,环球度假区,4.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,1-八通线,2号线,国贸,北京站,4.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,1-八通线,5号线,国贸,崇文门,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,1-八通线,8号线,国贸,回龙观东大街,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,1-八通线,8号线,国贸,永定门外,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,1-八通线,8号线,国贸,鼓楼大街,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,1-八通线,亦庄线,果园,小红门,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,1-八通线,1-八通线,果园,东单,4.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,1-八通线,1-八通线,果园,王府井,4.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,1-八通线,1-八通线,果园,环球度假区,4.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,1-八通线,10号线,果园,团结湖,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,1-八通线,14号线,果园,望京,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,1-八通线,2号线,果园,北京站,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,1-八通线,2号线,果园,崇文门,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,1-八通线,5号线,果园,天通苑北,4.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,1-八通线,5号线,果园,崇文门,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,1-八通线,8号线,果园,回龙观东大街,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,1-八通线,8号线,果园,奥林匹克公园,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,1-八通线,1-八通线,王府井,王府井,5.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,1-八通线,10号线,王府井,团结湖,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,1-八通线,2号线,王府井,北京站,3.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,1-八通线,1-八通线,环球度假区,果园,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,1-八通线,农业展览馆,果园,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,10号线,农业展览馆,农业展览馆,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,10号线,农业展览馆,十里河,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,10号线,农业展览馆,团结湖,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,10号线,农业展览馆,惠新西街南口,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,10号线,农业展览馆,海淀黄庄,4.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,5号线,农业展览馆,天通苑北,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,8号线,农业展览馆,奥林匹克公园,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,昌平线,北土城,昌平西山口,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,10号线,北土城,北土城,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,10号线,北土城,团结湖,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,10号线,北土城,海淀黄庄,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,10号线,北土城,车道沟,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,5号线,北土城,天通苑北,3.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,昌平线,国贸,学院桥,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,10号线,国贸,十里河,6.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,10号线,国贸,团结湖,12.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,10号线,国贸,惠新西街南口,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,10号线,国贸,海淀黄庄,5.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,5号线,国贸,天通苑北,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,5号线,国贸,天通苑,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,8号线,国贸,奥林匹克公园,5.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,昌平线,惠新西街南口,沙河,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,昌平线,惠新西街南口,西二旗,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,10号线,惠新西街南口,十里河,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,10号线,惠新西街南口,海淀黄庄,4.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,10号线,惠新西街南口,牡丹园,
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,8号线,惠新西街南口,奥林匹克公园,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,8号线,惠新西街南口,永泰庄,3.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,8号线,惠新西街南口,王府井,4.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,8号线,惠新西街南口,珠市口,3.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,昌平线,海淀黄庄,学知园,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,昌平线,海淀黄庄,学院桥,3.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,10号线,海淀黄庄,农业展览馆,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,10号线,海淀黄庄,惠新西街南口,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,10号线,海淀黄庄,海淀黄庄,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,10号线,海淀黄庄,牡丹园,4.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,10号线,海淀黄庄,车道沟,3.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,13号线,海淀黄庄,西二旗,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,15号线,海淀黄庄,望京,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,5号线,海淀黄庄,天通苑北,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,8号线,海淀黄庄,永泰庄,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,1-八通线,牡丹园,果园,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,10号线,牡丹园,农业展览馆,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,10号线,牡丹园,十里河,4.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,10号线,牡丹园,团结湖,5.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,10号线,牡丹园,海淀黄庄,6.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,10号线,牡丹园,牡丹园,4.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,2号线,牡丹园,北京站,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,5号线,牡丹园,东单,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,5号线,牡丹园,大屯路东,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,5号线,牡丹园,天通苑北,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,5号线,牡丹园,天通苑,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,5号线,牡丹园,崇文门,
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,8号线,牡丹园,奥林匹克公园,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,8号线,牡丹园,王府井,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,昌平线,苏州街,六道口,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,昌平线,苏州街,昌平西山口,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,昌平线,苏州街,沙河,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,1-八通线,苏州街,王府井,4.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,10号线,苏州街,北土城,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,10号线,苏州街,团结湖,3.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,10号线,苏州街,海淀黄庄,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,10号线,苏州街,牡丹园,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,13号线,苏州街,西二旗,4.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,5号线,苏州街,天通苑北,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,5号线,苏州街,天通苑,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,8号线,苏州街,回龙观东大街,4.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,8号线,苏州街,永定门外,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,昌平线,金台夕照,学院桥,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,昌平线,金台夕照,沙河,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,1-八通线,金台夕照,王府井,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,10号线,金台夕照,十里河,4.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,14号线,金台夕照,永定门外,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,5号线,金台夕照,大屯路东,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,10号线,5号线,金台夕照,天通苑北,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,13号线,昌平线,立水桥,学院桥,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,13号线,昌平线,立水桥,沙河,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,13号线,10号线,立水桥,团结湖,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,13号线,13号线,立水桥,西二旗,8.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,13号线,15号线,立水桥,望京,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,13号线,2号线,立水桥,北京站,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,13号线,2号线,立水桥,鼓楼大街,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,13号线,8号线,立水桥,永泰庄,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,13号线,1-八通线,西二旗,环球度假区,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,13号线,10号线,西二旗,团结湖,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,13号线,10号线,西二旗,惠新西街南口,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,13号线,10号线,西二旗,海淀黄庄,4.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,13号线,15号线,西二旗,望京,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,13号线,2号线,西二旗,北京站,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,13号线,2号线,西二旗,鼓楼大街,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,13号线,5号线,西二旗,天通苑北,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,13号线,5号线,西二旗,天通苑,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,13号线,8号线,西二旗,奥林匹克公园,
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,15号线,1-八通线,六道口,果园,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,15号线,15号线,六道口,六道口,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,15号线,15号线,六道口,大屯路东,3.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,15号线,15号线,六道口,奥林匹克公园,6.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,15号线,15号线,六道口,望京,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,15号线,2号线,六道口,北京站,4.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,15号线,5号线,六道口,天通苑北,
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,15号线,5号线,六道口,天通苑,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,15号线,5号线,六道口,崇文门,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,15号线,8号线,六道口,王府井,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,15号线,昌平线,大屯路东,西二旗,3.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,15号线,15号线,大屯路东,六道口,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,15号线,15号线,大屯路东,奥林匹克公园,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,15号线,15号线,大屯路东,清华东路西口,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,15号线,8号线,大屯路东,鼓楼大街,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,15号线,15号线,奥林匹克公园,六道口,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,15号线,15号线,奥林匹克公园,奥林匹克公园,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,15号线,10号线,清华东路西口,团结湖,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,15号线,15号线,清华东路西口,奥林匹克公园,3.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,15号线,15号线,清华东路西口,望京,3.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,15号线,15号线,清华东路西口,清华东路西口,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,15号线,5号线,清华东路西口,东单,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,15号线,5号线,清华东路西口,天通苑,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,15号线,5号线,清华东路西口,崇文门,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,15号线,8号线,清华东路西口,永泰庄,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,15号线,8号线,清华东路西口,王府井,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,2号线,亦庄线,前门,小红门,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,2号线,13号线,前门,西二旗,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,2号线,14号线,前门,望京,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,2号线,2号线,前门,北京站,22.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,2号线,2号线,前门,崇文门,4.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,2号线,5号线,前门,东单,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,2号线,亦庄线,北京站,小红门,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,2号线,昌平线,北京站,学院桥,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,2号线,昌平线,北京站,沙河,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,2号线,1-八通线,北京站,果园,3.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,2号线,1-八通线,北京站,王府井,11.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,2号线,1-八通线,北京站,环球度假区,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,2号线,10号线,北京站,十里河,3.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,2号线,10号线,北京站,团结湖,3.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,2号线,14号线,北京站,望京,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,2号线,15号线,北京站,六道口,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,2号线,15号线,北京站,望京,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,2号线,19号线,北京站,牡丹园,4.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,2号线,2号线,北京站,北京站,5.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,2号线,2号线,北京站,崇文门,11.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,2号线,2号线,北京站,鼓楼大街,4.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,2号线,4-大兴线,北京站,海淀黄庄,4.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,2号线,5号线,北京站,大屯路东,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,2号线,5号线,北京站,天通苑北,11.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,2号线,5号线,北京站,惠新西街南口,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,2号线,8号线,北京站,北土城,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,2号线,8号线,北京站,回龙观东大街,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,2号线,8号线,北京站,奥林匹克公园,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,2号线,8号线,北京站,王府井,6.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,2号线,8号线,北京站,珠市口,5.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,2号线,2号线,崇文门,北京站,9.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,2号线,2号线,崇文门,崇文门,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,2号线,4-大兴线,崇文门,海淀黄庄,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,2号线,8号线,崇文门,奥林匹克公园,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,2号线,8号线,崇文门,永定门外,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,5号线,亦庄线,东单,小红门,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,5号线,10号线,东单,十里河,4.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,5号线,14号线,东单,十里河,4.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,5号线,5号线,东单,崇文门,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,5号线,昌平线,大屯路东,沙河,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,5号线,1-八通线,大屯路东,环球度假区,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,5号线,10号线,大屯路东,团结湖,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,5号线,14号线,大屯路东,十里河,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,5号线,2号线,大屯路东,北京站,3.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,5号线,5号线,大屯路东,东单,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,5号线,5号线,大屯路东,天通苑北,3.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,5号线,5号线,大屯路东,天通苑,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,5号线,5号线,大屯路东,崇文门,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,5号线,5号线,大屯路东,惠新西街南口,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,5号线,昌平线,天通苑,学知园,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,5号线,昌平线,天通苑,学院桥,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,5号线,昌平线,天通苑,沙河,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,5号线,1-八通线,天通苑,王府井,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,5号线,1-八通线,天通苑,环球度假区,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,5号线,10号线,天通苑,农业展览馆,1.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,5号线,10号线,天通苑,十里河,2.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,5号线,10号线,天通苑,团结湖,8.0
2023/5/20,2023/5/20 10:00:00,2023/5/20 10:15:00,5号线,10号线,天通苑,海淀黄庄,6.0
